page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
26,1,(PS non-universitaire)∙Âge²,"1,000","1,000","1,001***","1,001*","1,000","1,002***","1,004***","1,004***"
26,1,(Université)∙Âge²,"0,996***","0,999***","1,003***","1,002***","0,999","1,004***","1,006***","1,007***"
26,1,Effet de la part des gains de la femme dans les gains du couple selon le niveau de scolarité de chacun des deux conjoints²,,,,,,,,
26,1,f. Moins que le secondaire et H. Moins que le secondaire³,"1,004***","1,002*","1,003**","1,000","1,005***","1,004***","1,003*","1,003"
26,1,f. Moins que le secondaire et H. Secondaire,"1,004***","1,002*","1,004***","1,002","1,004***","1,004***","1,004***","1,005*"
26,1,f. Moins que le secondaire et H. PS non-universitaire,"1,004*","1,000","1,002","1,000","1,002","1,003","1,002","1,005"
26,1,f. Moins que le secondaire et H. Université,"1,009**","1,004","1,002","0,995","1,006*","1,002","1,009*","1,009"
26,1,f. Secondaire et H. Moins que le secondaire,"1,007***","1,006***","1,004***","1,005***","1,011***","1,007***","1,007***","1,008***"
26,1,f. Secondaire et H. Secondaire,"1,005***","1,003***","1,003***","1,003***","1,008***","1,003***","1,004***","1,002*"
26,1,f. Secondaire et H. PS non-universitaire,"1,005***","1,002*","1,002*","1,003**","1,007***","1,002*","1,002*","1,002"
26,1,f. Secondaire et H. Université,"1,009***","1,007***","1,002","1,002","1,005**","1,001","0,999","0,998"
26,1,f. PS non-universitaire et H. Moins que le secondaire,"1,006***","1,007***","1,008***","1,006***","1,010***","1,008***","1,012***","1,008***"
26,1,f. PS non-universitaire et H. Secondaire,"1,006***","1,005***","1,004***","1,004***","1,005***","1,003**","1,007***","1,005***"
27,1,f. PS non-universitaire et H. PS non-universitaire,"1,002","1,002*","1,002*","1,001","1,001","0,999","1,002*","1,000"
27,1,f. PS non-universitaire et H. Université,"1,007***","1,004***","1,003*","1,000","0,998","0,999","1,000","0,998"
27,1,f. Université et H. Moins que le secondaire,"1,005**","1,007***","1,009***","1,002","1,013***","1,015***","1,012***","1,012***"
27,1,f. Université et H. Secondaire,"1,006***","1,005***","1,007***","1,005***","1,005**","1,006***","1,008***","1,008***"
27,1,f. Université et H. PS non-universitaire,"1,004*","1,005***","1,005***","1,003***","1,005*","1,005***","1,005***","1,006***"
